CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12
C10002,3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12
C10003,2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12
C10004,1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,,0,12
C10005,817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12
C10006,1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12
C10007,627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12
C10008,1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12
C10009,1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12
C10010,152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12
C10011,1293.124939,1,920.12,0,920.12,0,1,0,1,0,0,12,1200,1083.301007,2172.697765,0,12
C10012,630.794744,0.818182,1492.18,1492.18,0,0,0.25,0.25,0,0,0,6,2000,705.618627,155.549069,0,12
C10013,1516.92862,1,3217.99,2500.23,717.76,0,1,0.25,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12
C10014,921.693369,1,2137.93,419.96,1717.97,0,0.75,0.166667,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12
C10015,2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,12
C10016,6886.213231,1,1611.7,0,1611.7,2301.491267,0.5,0,0.5,0.166667,4,11,8000,1993.439277,2109.90649,0,12
C10017,2072.074354,0.875,0,0,0,2784.274703,0,0,0,0.25,3,0,3000,391.974562,376.579631,0,8
C10018,41.089489,0.454545,519,0,519,0,0.416667,0,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12
C10019,1989.072228,1,504.35,166,338.35,0,0.666667,0.083333,0.583333,0,0,9,13000,1720.837373,744.613395,0,12
C10020,3577.970933,1,398.64,0,398.64,0,1,0,1,0,0,12,4000,1053.980464,12465.54938,0,12
C10021,2016.684686,1,176.68,0,176.68,0,0.666667,0,0.666667,0,0,8,2000,223.0686,13557.29726,0,12
C10022,6369.531318,1,6359.95,5910.04,449.91,229.028245,1,0.916667,1,0.333333,6,92,11250,2077.959051,1659.775075,0,12
C10023,132.34224,0.636364,815.9,0,815.9,0,1,0,1,0,0,17,1800,2359.629958,86.329554,0,12
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1,0.083333,0.916667,0.333333,13,13,9000,9479.043842,1425.426525,0,12
C10025,5368.571219,1,0,0,0,798.949863,0,0,0,0.363636,4,0,6000,1422.726707,1657.002877,0,11
C10026,169.781679,1,399.6,0,399.6,0,1,0,1,0,0,12,3000,215.306142,163.005536,0,12
C10027,1615.96724,1,102,102,0,244.840485,0.166667,0.166667,0,0.25,5,2,1700,890.178845,971.183209,0,12
C10028,125.694817,1,233.28,0,233.28,0,1,0,1,0,0,12,1000,207.773715,164.748819,0,12
C10029,7152.864372,1,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500,1601.448347,1648.851345,0,12
